City,Airport,Type
Belo Horizonte,CNF,Origin
Brasília,BSB,Origin
Caracas,CCS,Origin
Florianópolis,FLN,Origin
Houston,HOU,Origin
Memphis,MEM,Origin
São Paulo,SAO,Origin
Aruba,AUA,Destination
Bariloche,BRC,Destination
Buenos Aires,BUE,Destination
Cartagena,CTG,Destination
Jamaica,KIN,Destination
Lima,LIM,Destination
Lisboa,LIS,Destination
Porto,OPO,Destination
Montevideu,MVD,Destination
Montreal,YMQ,Destination
Paris,PAR,Destination
Lyon,LYS,Destination
Marselha,MRS,Destination
Punta Cana,PUJ,Destination
Santiago,SCL,Destination
Toronto,YTO,Destination
Estolcomo,ARN,Destination
Madrid,MAD,Destination
Barcelona,BCN,Destination
Valência,VLC,Destination
Sevilla,SVQ,Destination
Bruxelas,BRU,Destination
Zurique,ZRH,Destination
Roma,ROM,Destination
Milão,MIL,Destination
Florença,FLR,Destination
Vienna,VIE,Destination
Londres,LON,Destination
Manchester,MAN,Destination
Dublin,DUB,Destination
